clean_review,verified_purchase_encoded,review_length_bin,sentiment
great love,1,Short,1
lots ads slow processing speed occasionally shuts apps wifi keeps authentication issues cheap tablet know,0,Short,0
excellent unit versatility tablet besides competitively priced solution elderly poor eyesight physical disabilities associated age using supporting add features allows user stay touch changing world realistic add keyboard see use cannot wait use fire hd show computer created work sheets class instructions students hmdi good copiers reams paper farwell costly printer inks oh yes much gain back takes little effort learn open book read noel,1,Long,1
bought amazon prime ended buying gb one camera okay love edit features pictures amazonnetflixhuliu run smoothly tablet internet runs lot faster tablet happy tablet come couple disappointments wanted make sure people aware amazon prime member thought amazon prime could read lot books free kindle disappointed see borrow one kindle book month free also one main reasons purchased tablet kids love plants vs zombies games kids quite disappointed plants vs zombies available fire also gamesapps looking forward using available fire available previous cheaper neutab tablet looking forward using tablet recommend people ask apps looking forward using buying,0,Long,1
amazon products continue meet expectations,1,Short,1
good product like,1,Short,1
kindle works well battery goes dead quickly youd expect really version previous kindle weighs less internet browser works considerably better previous still issues loading certain websites popup ads challenge times older version good product serves purpose well wouldnt rave,1,Medium,1
really enjoy new kindle easy use offers plenty useful entertaining activities,1,Short,1
wanted performs perfectly everything works great menu system awful id go stars menu system better,1,Short,1
made well like looks style,1,Short,1
yes met needs stars,1,Short,1
old kindles one lot love,0,Short,1
great product,1,Short,1
complaint kindle camera takes grainy pictures trying everything fix problem pictures good,1,Short,1
got promotional price good worried last android device real turkey main purpose reader downloaded everything fairly fast problems overdrive app really need traveling perfect size screen resolution great sure sound quality yet expect good apple phones amazon really bends backwards keep prime customers happy really appreciate good service,0,Medium,1
love product,1,Short,1
really like using hd display used features yet used live,1,Short,1
everything expected already gotten hours entertainment information much easier read paperbacks especially vacation,0,Short,1
nice tablet disappointed see deliberately made using chromecast impossible,1,Short,0
dont waste money buying kindle fire hd youll better buying tablet market kindle limited amazon purposely doesnt allow downloads apps arent amazon market place tablet soooo many problems slow connection internet connection internet possible much time slow connection videos games etc support reading problems owners huge favor buy anything else mine gift wellmeaning son,0,Long,0
still slow glitchy first edition fire still flash compatible renders browser useless freezes constantly crap battery life regularly occuring issues loading page last incredibly disappointing,1,Medium,0
love wish could download books without internet service like could keyboard kindle,1,Short,1
doesnt much space thought,1,Short,0
excellent device hd top notch sound great would definately recommend fire hd,1,Short,1
learn use,1,Short,0
im happy new kindle fire however second one little year first kindle cannot used since refuses charge happy,1,Short,1
thought would ask professional set new kindle fire hd able program kindle easily previous books already clouds also able download songs enjoying kindle fire hd,1,Medium,1
great item,1,Short,1
finally gave replaced paperwhite fire really loved paperwhite think im going love well use every day get little upset accidentally leave home dont one best purchases ive made,0,Medium,1
perfect size great capabilities excited made choice finally purchase one,0,Short,1
weve bought several family members,0,Short,1
kindle addiction,0,Short,1
wont stay connected wifi constantly log matter public home etc,0,Short,0
unit came directions use kind dont know use guess buy kindle,1,Short,0
overall good kids dont take advantage things things confusing like apps loaded given profiles app uses space must loaded profile app taking space places profile delete app main profile delete others kids profile seem get removed device screen still shows settingsits really confusing,1,Medium,1
everything wanted,1,Short,1
works well fast using much yet case comes fear scratching fab display,1,Short,1
good value operating system little buggy periodically crashes requires rebooting,1,Short,0
find easy use regular kindle fire reading kindle freezes hold side also get brighten darken text reading lastly advertisements come every time turn hd kindle fire annoying,1,Medium,0
returned prefer open android tablet far qualityit amazon never disappoint strict amazonian tablet stars personal choice quality,1,Short,0
love convenient use library download books done long time ago,1,Short,1
generation perfected placement ports fast operation excellent sound love new kindle fire hd,1,Short,1
cant personalize connect google,1,Short,0
gift much appreciated love,1,Short,1
sound amazing video best dont bother watching news television anymore go straight kindle fire,1,Short,1
kindle like little computer lite carry n pocketbook n take u everywhere site comes n clear n safe use device laptop cant wait explore else offer,1,Medium,1
good choice,0,Short,1
like everything except dont think battery lasts long one,1,Short,1
five stars one request make easier exit full screen,1,Short,1
easy use books easy read carry everywhere,1,Short,1
love everything wanted kindle,1,Short,1
great tablet amazon love new changes hd speed,1,Short,1
two one us love,1,Short,1
rd kindle first reading nd kindle fire really liked enough storage capacity got kindle fire hd storage ill need books games use anything want internet great product,0,Medium,1
third kindle loved kindle support sucks device rocks,1,Short,1
